id,0,13

# This file is for mod translation
# Lines with "#" as the first character are not recognized
# A one-byte comma "," may not be used except for delimitation.
# So，please use a full-width comma "，"

# Crew Roles
Mystic,Mystic
MysticStartText,You Know When Converts Happen
MysticAbilitiesText1,- You can investigate players to see if they have been converted\n- Whenever someone has been converted， you will be alerted to it\n- When all converted
MysticAbilitiesText2, and converters die， you will become a <color=#71368AFF>Seer</color>


VampireHunter,Vampire Hunter
VampireHunterStartText,Stake The <color=#7B8968FF>Undead</color>
VampireHunterAbilitiesText1,- You can stake players to see if they have been turned\n- When you stake a turned person， or an <color=#7B8968FF>Undead</color> tries to interact with 
VampireHunterAbilitiesText2,you，you will kill them\n- When all <color=#7B8968FF>Undead</color> players die， you will become a <color=#FFFF00FF>Vigilante</color>

Coroner,Coroner
CoronerStartText,Examine The Dead For Info
CoronerAbilitiesText1,- You know when players die and will be notified to as to where their body is for a brief period of time\n- You will get a report when you report a body
CoronerAbilitiesText2,\n- You can perform an autopsy on bodies， to get a reference\n- You can compare the autopsy reference with players to see if they killed the body you examined

Detective,Detective
DetectiveStartText,Examine Players To Find Bloody Hands
DetectiveAbilitiesText,- You can examine players to see if they have killed recently\n- Your screen will flash red if your target has killed in the last %duration% s\n- You can view everyone's footprints to see where they go or where they came from


Inspector,Inspector
InspectorStartText,Inspect Players For Their Roles
InspectorAbilitiesText,- You can check a player to get a role list of what they could be

Medium,Medium
MediumStartText,Spooky Scary Ghosties Send Shivers Down Your Spine
MediumAbilitiesText1,- You can mediate which makes ghosts visible to you
MediumAbilitiesText2,\n- When mediating， dead players will be able to see you

Operative,Operative
OperativeStartText,Detect Which Roles Are Here
OperativeAbilitiesText1,- You can place bugs around the map\n- Upon triggering the bugs， the player's role will be included in a list to be shown in the next meeting\n- You can
OperativeAbilitiesText2,see which colors are where on the admin table\n- On Vitals， the time of death for each player will be shown
OperativeBugChat1,No one triggered your bugs.
OperativeBugChat2,Not enough players triggered your bugs.
OperativeBugChat3,A %BuggedPlayers% triggered your bug.
OperativeMessage,The following roles triggered your bug:
OperativeMessageAndRole,And %role%

Seer,Seer
